pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,snr_value,can_separate,in_habitable_zone,suitable_radius,suitable_mass,suitable_temp,potential_magnetic_field,is_habitable,sy_gaiamag
HD 113996 b,HD 113996,2,1,Radial Velocity,2017,610.2,1.6,12.7,2002.329,,K5 III,4181.0,25.11,1.49,116.334,29352.6678349804,False,True,False,False,,,,4.22274
HD 114082 b,HD 114082,1,1,Radial Velocity,2022,109.75,0.5109,11.209,2542.62726,,F3 V,6651.0,1.49,1.47,95.3906,1174.4196492735368,False,False,False,False,,,,8.09394
HD 114386 b,HD 114386,1,1,Radial Velocity,2003,937.70001,1.73,13.7,362.3262,,K3V,4836.0,0.76,0.6,27.9243,464.52759953968723,False,False,False,False,,,,8.41823
HD 114729 b,HD 114729,2,1,Radial Velocity,2002,1121.79,2.067,13.9,262.20975,,G0 V,5844.0,1.47,0.94,37.8063,683.683288321422,False,False,False,False,,,,6.51382
HD 114783 b,HD 114783,1,2,Radial Velocity,2001,493.7,1.16,13.7,349.6,,K0,5135.0,0.84,0.85,21.0628,2218.4595784776257,False,True,False,False,,,,7.31783
HD 114783 c,HD 114783,1,2,Radial Velocity,2018,4352.0,5.0,13.4,603.87397,,K1 V,5126.74,0.84,0.9,21.0628,114.2341494021071,False,False,False,False,,,,7.31783
HD 11505 b,HD 11505,1,1,Radial Velocity,2022,32669.22247,20.247,12.6,2510.52659,,,5757.15,1.2,1.03,38.9679,3.672554188022493,False,False,False,False,,,,7.25765
HD 11506 b,HD 11506,1,3,Radial Velocity,2007,1613.74017,2.8,12.9,1551.00263,,G0 V,6183.0,1.24,1.12,51.261,124.20314128316457,False,False,False,False,,,,7.37382
HD 11506 c,HD 11506,1,3,Radial Velocity,2008,223.95986,0.75,13.4,117.27868,,G0 V,6055.0,1.34,1.12,51.261,2181.3357564386033,False,False,False,False,,,,7.37382
HD 11506 d,HD 11506,1,3,Radial Velocity,2022,14723.57452,12.235,12.6,2346.52713,,G0 V,6183.0,1.24,1.12,51.261,6.205865585956009,False,False,False,False,,,,7.37382
